!SIL SIL
<SPOKEN_NOISE> SPN
<UNK> SPN
A	ɑː 
STJERNESKUESPILLEREN	s ʂ a r n ə s k ʉː ə s p ɪ l l eː r ə n 
STJÅLET	s ʂ oː l ə t 
STJØRDAL	s ʂ œ r d a l 
STO	s t uː 
STOCKHOLM	s t ɔ k k h ɔ l m 
STOD	s t uː d 
STOFF	s t ɔ f f 
STOFFER	s t ɔ f f ə r 
STOFFET	s t ɔ f f ə t 
STOFFMISBRUKERE	s t ɔ f f m ɪ s b r ʉː k eː r a 
STOKKE	s t ɔ kː a 
STOKKEN	s t ɔ kː ə n 
STOKKER	s t ɔ kː ə r 
STOL	s t uː l 
STOLE	s t uː l a 
STOLENE	s t uː l ɛ n a 
STOLT	s t ɔ l t 
STOLTHETEN	s t ɔ l t h eː t ə n 
STOPP	s t ɔ pː 
STOPPE	s t ɔ pː a 
STOPPER	s t ɔ pː ə r 
STOPPET	s t ɔ pː ə t 
STOR	s t uː r 
STORARTET	s t uː r ɑ r t ə t 
STORBYEN	s t ɔ r b yː ə n 
STORD	s t ɔ r 
STORE	s t uː r a 
STOREBØ	s t uː r eː b øː 
STORFAMILIEN	s t ɔ r f a m iː l iː ə n 
STORFORSHEI	s t ɔ r f ɔ r ʃ h aɪ 
STORHETSTID	s t ɔ r h ə t s t iː d 
STORM	s t ɔ r m 
STORMANNSFAMILIER	s t ɔ r m ɑ n s f a m iː l iː ə r 
STORME	s t ɔ r m a 
STORPUNKTUM	s t ɔ r p ʉ ŋ k t ʉː m 
STORRØYKERE	s t ɔ r r øy k eː r a 
STORSELSKAPET	s t ɔ r ʃ ə l s k a p ə t 
STORSLÅTTE	s t ɔ r ʃ l ɔ tː a 
STORSTEINNES	s t ɔ r ʃ t aɪ n n ə s 
STORSTUE	s t ɔ r ʃ t ʉː a 
STORT	s t ʊ r t 
STORTING	s t ʊ r t ɪ ŋ 
STORTINGET	s t ʊ r t ɪ ŋ ə t 
STORTINGETS	s t ʊ r t ɪ ŋ ɛ t s 
STORTINGSDOKUMENTENE	s t ʊ r t ɪ ŋ s d uː k ʉː m ɛ n t ɛ n a 
STORTINGSFLERTALLET	s t ʊ r t ɪ ŋ s f l a r t ɑ l l ə t 
STORVIK	s t ɔ r v iː k 
STRABASER	s t r a b a s ə r 
STRAFF	s t r ɑ f f 
STRAFFBAR	s t r ɑ f f b a r 
STRAFFBARE	s t r ɑ f f b a r a 
STRAFFEN	s t r ɑ f f ə n 
STRAFFERETT	s t r ɑ f f eː r ɛ tː 
STRAFFES	s t r ɑ f f ə s 
STRAKS	s t r ɑ k s 
STRAM	s t r a m 
STRAMME	s t r ɑ m m a 
STRAMT	s t r ɑ m t 
STRANDA	s t r ɑ n n ɑ 
STRANDBREDDEN	s t r ɑ n n b r ɛ dː ə n 
STRANDEN	s t r ɑ n n ə n 
STRANDPROMENADEN	s t r ɑ n n p r uː m eː n a d ə n 
STRATEGI	s t r a t eː j iː 
STRATEGIER	s t r a t eː j iː ə r 
STRATEGISK	s t r a t eː j ɪ s k 
STRATEGISKE	s t r a t eː j ɪ s k a 
STRAUME	s t r aʊ m a 
STRAUMSBUKTA	s t r aʊ m s b ʉ k t ɑ 
STREIK	s t r aɪ k 
STREIKEN	s t r aɪ k ə n 
STREIKENDE	s t r aɪ k ɛ n n a 
STREIKER	s t r aɪ k ə r 
STREIKEVAKTENE	s t r aɪ k eː v ɑ k t ɛ n a 
STREK	s t r eː k 
STREKER	s t r eː k ə r 
STREKKER	s t r ɛ kː ə r 
STREKNINGEN	s t r ɛ k n ɪ ŋ ə n 
STREKNINGER	s t r ɛ k n ɪ ŋ ə r 
STRENG	s t r ɛ ŋ 
STRENGE	s t r ɛ ŋ a 
STRENGT	s t r ɛ ŋ t 
STRESS	s t r ɛ s 
STREV	s t r eː v 
STREVSOMT	s t r ɛ v s ɔ m t 
STRID	s t r iː d 
STRIDBARHET	s t r ɪ d b ɑ r h ə t 
STRIDBARHETEN	s t r ɪ d b ɑ r h eː t ə n 
STRIDE	s t r iː d a 
STRIDEN	s t r iː d ə n 
STRIDES	s t r iː d ə s 
STRIDIGE	s t r iː d iː ɡ a 
STRIKKE	s t r ɪ kː a 
STRIKKET	s t r ɪ kː ə t 
STRIPE	s t r iː p a 
STRIPER	s t r iː p ə r 
STRITTER	s t r ɪ tː ə r 
STRUKTUR	s t r ʉ k t ʉː r 
STRUKTURENE	s t r ʉ k t ʉː r ɛ n a 
STRUTTER	s t r ʉ tː ə r 
STRYK	s t r yː k 
STRYKE	s t r yː k a 
STRYKER	s t r yː k ə r 
STRYKKARAKTER	s t r y kː a r ɑ k t ə r 
STRÅET	s t r oː a t 
STRÅLER	s t r oː l ə r 
STRÅLING	s t r oː l ɪ ŋ 
STRØ	s t r øː 
STRØDD	s t r œ dː 
STRØINGEN	s t r øː ɪ ŋ ə n 
STRØJOBBENE	s t r øː j ɔ bː ɛ n a 
STRØK	s t r øː k 
STRØKET	s t r øː k ə t 
STRØM	s t r øː m 
STRØMBEHOVET	s t r œ m b eː h uː v ə t 
STRØMLINJEFORMET	s t r œ m l ɪ n j eː f ɔ r m ə t 
STRØMME	s t r œ m m a 
STRØMMEN	s t r œ m m ə n 
STRØMMES	s t r œ m m ə s 
STRØMMET	s t r œ m m ə t 
STRØMNINGENE	s t r œ m n ɪ ŋ ɛ n a 
STRØMNINGER	s t r œ m n ɪ ŋ ə r 
STRØMPRIS	s t r œ m p r iː s 
STRØSANDEN	s t r øː s ɑ n n ə n 
STUA	s t ʉː ɑ 
STUBBERUD	s t ʉ bː eː r ʉː d 
STUDENT	s t ʉː d ɛ n t 
STUDENTEKSPANSJON	s t ʉː d ə n t ɛ k s p ɑ n ʃ uː n 
STUDENTEN	s t ʉː d ɛ n t ə n 
STUDENTENE	s t ʉː d ə n t ɛ n a 
STUDENTENES	s t ʉː d ə n t eː n ə s 
STUDENTER	s t ʉː d ɛ n t ə r 
STUDENTHYBLER	s t ʉː d ə n t h y b l ə r 
STUDENTORGANISASJON	s t ʉː d ə n t ɔ r ɡ a n iː s ɑ ʃ uː n 
STUDERE	s t ʉː d eː r a 
STUDERER	s t ʉː d eː r ə r 
STUDERES	s t ʉː d eː r ə s 
STUDERT	s t ʉː d a r t 
STUDERTE	s t ʉː d a r t a 
STUDIE	s t ʉː d iː a 
STUDIEFORBEREDENDE	s t ʉː d iː eː f ɔ r b eː r eː d ɛ n n a 
STUDIEKOMPETANSE	s t ʉː d iː eː k ɔ m p eː t ɑ n s a 
STUDIELÅN	s t ʉː d iː eː l oː n 
STUDIELÅNET	s t ʉː d iː eː l oː n ə t 
STUDIEMORAL	s t ʉː d iː eː m uː r a l 
STUDIEMÅLENE	s t ʉː d iː eː m oː l ɛ n a 
STUDIENE	s t ʉː d iː ɛ n a 
STUDIEPLASS	s t ʉː d iː ɛ p l ɑ s 
STUDIEPLASSER	s t ʉː d iː ɛ p l ɑ s s ə r 
STUDIER	s t ʉː d iː ə r 
STUDIO	s t ʉː d iː uː 
STUDIOPUBLIKUM	s t ʉː d iː uː p ʉ b l iː k ʉː m 
STUE	s t ʉː a 
STUER	s t ʉː ə r 
STUERENT	s t ʉː eː r ɛ n t 
STUET	s t ʉː ə t 
STUKKET	s t ʉ kː ə t 
STUMME	s t ʉ m m a 
STUND	s t ʉ n n 
STUNDER	s t ʉ n n ə r 
STUNDOM	s t ʉ n n uː m 
STURLA	s t ʉ r l ɑ 
STYGG	s t y ɡː 
STYKKE	s t y kː a 
STYKKER	s t y kː ə r 
STYKKET	s t y kː ə t 
STYRE	s t yː r a 
STYREARBEID	s t yː r eː ɑ r b aɪ d 
STYREPLASS	s t yː r ə p l ɑ s 
STYRER	s t yː r ə r 
STYRESETT	s t yː r eː s ɛ tː 
STYRET	s t yː r ə t 
STYRING	s t yː r ɪ ŋ 
STYRINGEN	s t yː r ɪ ŋ ə n 
STYRKE	s t y r k a 
STYRKEN	s t y r k ə n 
STYRKEPRØVE	s t y r k ə p r øː v a 
STYRKER	s t y r k ə r 
STYRKET	s t y r k ə t 
STYRMENN	s t y r m ɛ n 
STÅ	s t oː 
STÅENDE	s t oː a n n a 
STÅL	s t oː l 
STÅLBØRSTES	s t ɔ l b œ r ʃ t ə s 
STÅLE	s t oː l a 
STÅR	s t oː r 
STÅSTED	s t ɔ s t ə d 
STÅTT	s t ɔ tː 
STØLEN	s t øː l ə n 
STØPEFORMER	s t øː p eː f ɔ r m ə r 
STØPING	s t øː p ɪ ŋ 
STØRRE	s t œ r r a 
STØRRELSE	s t œ r r ɛ l s a 
STØRRELSEN	s t œ r r ɛ l s ə n 
STØRST	s t œ r ʃ t 
STØRSTE	s t œ r ʃ t a 
STØTT	s t œ tː 
STØTTE	s t œ tː a 
STØTTEN	s t œ tː ə n 
STØTTER	s t œ tː ə r 
STØTTESATSER	s t œ tː eː s ɑ t s ə r 
STØTTET	s t œ tː ə t 
STØTTETILTAK	s t œ tː eː t ɪ l t a k 
STØTTETJENESTER	s t œ tː ə ʂ eː n ɛ s t ə r 
STØVERE	s t øː v eː r a 
STØVET	s t øː v ə t 
STØVKNAPPER	s t œ v k n ɑ pː ə r 
STØVLER	s t œ v l ə r 
STØVSKYEN	s t œ v ʃ yː ə n 
STØY	s t øy 
SUBJEKTIV	s ʉ b j ə k t iː v 
SUBJEKTIVE	s ʉ b j ə k t iː v a 
SUBJEKTIVITET	s ʉ b j ə k t iː v iː t ə t 
SUBKULTURER	s ʉ b k ʉ l t ʉː r ə r 
SUBSIDIEKUTT	s ʉ b s iː d iː eː k ʉ tː 
SUBSIDIER	s ʉ b s iː d iː ə r 
SUBSIDIERER	s ʉ b s iː d iː eː r ə r 
SUGES	s ʉː ɡ ə s 
SUGGERERENDE	s ʉ ɡː eː r eː r ɛ n n a 
SUKKER	s ʉ kː ə r 
SUKKERLAKEN	s ʉ kː a r l a k ə n 
SUKSESS	s ʉ k s ɛ s 
SUKSESSEN	s ʉ k s ɛ s s ə n 
SUKSESSFULL	s ʉ k s ə s s f ʉ l 
SUKSESSRIKE	s ʉ k s ə s s r iː k a 
SULDAL	s ʉ l l a l 
SULITJELMA	s ʉː l ɪ ʂ ɛ l m ɑ 
SULTEFÔRE	s ʉ l t eː f uː r a 
SULTEN	s ʉ l t ə n 
SULTER	s ʉ l t ə r 
SUM	s ʉː m 
SUMMENEKOMMA	s ʉ m m eː n eː k ɔ m m ɑ 
SUMMER	s ʉ m m ə r 
SUMMERER	s ʉ m m eː r ə r 
SUND	s ʉ n n 
SUNDAL	s ʉ n n a l 
SUNDBY	s ʉ n n b yː 
SUNDENE	s ʉ n n ɛ n a 
SUNDET	s ʉ n n ə t 
SUNDØY	s ʉ n n øy 
SUNKET	s ʉ ŋ k ə t 
SUNN	s ʉ n 
SUNNDAL	s ʉ n d a l 
SUNNERE	s ʉ n n eː r a 
SUNT	s ʉ n t 
SUPERPILLE	s ʉː p a r p ɪ l l a 
SUPPLEMENT	s ʉ pː l eː m ɛ n t 
SUPPLERT	s ʉ pː l a r t 
SURFEBRETT	s ʉ r f ə b r ɛ tː 
SURNADAL	s ʉ r n a d a l 
SURR	s ʉ r r 
SURREALISTISK	s ʉ r r eː a l ɪ s t ɪ s k 
SURREALISTISKE	s ʉ r r eː a l ɪ s t ɪ s k a 
SURSØTE	s ʉ r ʃ øː t a 
SUSANNE	s ʉː s ɑ n n a 
SUVENIRER	s ʉː v eː n iː r ə r 
SUVERENE	s ʉː v eː r ɛ n a 
SUVERENT	s ʉː v eː r ɛ n t 
SVABERG	s v a b a r ɡ 
SVAK	s v a k 
SVAKE	s v a k a 
SVAKHET	s v ɑ k h ə t 
SVAKHETER	s v ɑ k h eː t ə r 
SVAL	s v a l 
SVALE	s v a l a 
SVANER	s v a n ə r 
SVANGERSKAP	s v ɑ ŋ a r ʃ k a p 
SVANGERSKAPET	s v ɑ ŋ a r ʃ k a p ə t 
SVANGERSKAPSAVBRUDD	s v ɑ ŋ a r ʃ k ɑ p s ɑ v b r ʉ dː 
SVANGERSKAPSOMSORG	s v ɑ ŋ a r ʃ k ɑ p s ɔ m s ɔ r ɡ 
SVANHILD	s v ɑ n h ɪ l l 
SVAR	s v a r 
SVARE	s v a r a 
SVARER	s v a r ə r 
SVARET	s v a r ə t 
SVART	s v ɑ r t 
SVARTE	s v ɑ r t a 
SVARTSIDET	s v ɑ r t s iː d a 
SVATSUM	s v ɑ t s ʉː m 
SVEIN	s v aɪ n 
SVEISER	s v aɪ s ə r 
SVEITSERNE	s v aɪ t s a r n a 
SVEKKELSE	s v ɛ kː ɛ l s a 
SVEKKER	s v ɛ kː ə r 
SVEKKES	s v ɛ kː ə s 
SVEKKET	s v ɛ kː ə t 
SVELG	s v ɛ l ɡ 
SVELGER	s v ɛ l ɡ ə r 
SVEND	s v ɛ n n 
SVENDSEN	s v ɛ n n s ə n 
SVENN	s v ɛ n 
SVENSK	s v ɛ n s k 
SVENSKE	s v ɛ n s k a 
SVENSKENE	s v ɛ n s k ɛ n a 
SVERD	s v a r 
SVETT	s v ɛ tː 
SVI	s v iː 
SVIGERDATTER	s v iː ɡ a r d ɑ tː ə r 
SVIKTER	s v ɪ k t ə r 
SVIKTET	s v ɪ k t ə t 
SVIMLENDE	s v ɪ m l ɛ n n a 
SVING	s v ɪ ŋ 
SVINGER	s v ɪ ŋ ə r 
SVOGER	s v uː ɡ ə r 
SVOGERSKAP	s v uː ɡ a r ʃ k a p 
SVORKMO	s v ɔ r k m uː 
SVORTEVIK	s v ʊ r t eː v iː k 
SVOVELSYRE	s v uː v ə l s yː r a 
SVULME	s v ʉ l m a 
SVÆRE	s v aː r a 
SVÆRT	s v a r t 
SVØMME	s v œ m m a 
SVØMMENDE	s v œ m m ɛ n n a 
SVØMMING	s v œ m m ɪ ŋ 
SVØMTE	s v œ m t a 
SYDFRA	s y d f r ɑ 
SYDOVER	s yː d uː v ə r 
SYDPOLEKSPEDISJONER	s y d p uː l ɛ k s p eː d ɪ ʃ uː n ə r 
SYES	s yː ə s 
SYK	s yː k 
SYKDOM	s y k d uː m 
SYKDOMMEN	s y k d ɔ m m ə n 
SYKDOMMENE	s y k d ɔ m m ɛ n a 
SYKDOMMENES	s y k d ɔ m m eː n ə s 
SYKDOMMER	s y k d ɔ m m ə r 
SYKDOMSRISIKO	s y k d ɔ m s r iː s iː k uː 
SYKE	s yː k a 
SYKEFRAVÆRET	s yː k ə f r a v aː r ə t 
SYKEHJEM	s yː k ɛ j ə m 
SYKEHJEMMENE	s yː k ə j ɛ m m ɛ n a 
SYKEHJEMSPLASSENE	s yː k ə j ɛ m s p l ɑ s s ɛ n a 
SYKEHJEMSPLASSER	s yː k ə j ɛ m s p l ɑ s s ə r 
SYKEHUS	s yː k eː h ʉː s 
SYKEHUSDIREKTØREN	s yː k eː h ʉ s d iː r ɛ k t øː r ə n 
SYKEHUSEIERNE	s yː k eː h ʉː s aɪ a r n a 
SYKEHUSENE	s yː k eː h ʉː s ɛ n a 
SYKEHUSET	s yː k eː h ʉː s ə t 
SYKEHUSETS	s yː k eː h ʉː s ɛ t s 
SYKEHUSKØ	s yː k eː h ʉ s k øː 
SYKEHUSLEDELSEN	s yː k eː h ʉ s l eː d ɛ l s ə n 
SYKEHUSOPPHOLD	s yː k eː h ʉː s ɔ pː h ɔ l l 
SYKEMELDINGER	s yː k eː m ɛ l l ɪ ŋ ə r 
SYKEPENGER	s yː k eː p ɛ ŋ ə r 
SYKEPLEIER	s yː k ə p l aɪ ə r 
SYKEPLEIERE	s yː k ə p l aɪ eː r a 
SYKEPLEIERNE	s yː k ə p l aɪ a r n a 
SYKEPLEIERSTILLINGENE	s yː k ə p l aɪ a r ʃ t ɪ l l ɪ ŋ ɛ n a 
SYKEPUNKTUM	s yː k eː p ʉ ŋ k t ʉː m 
SYKESTE	s yː k ɛ s t a 
SYKKELEN	s y kː eː l ə n 
SYKLENE	s y k l ɛ n a 
SYKLER	s y k l ə r 
SYKLET	s y k l ə t 
SYKLISTENE	s y k l ɪ s t ɛ n a 
SYLINDER	s yː l ɪ n n ə r 
SYMBOLBRUK	s y m b ɔ l b r ʉː k 
SYMBOLENE	s y m b uː l ɛ n a 
SYMBOLER	s y m b uː l ə r 
SYMBOLIKK	s y m b uː l ɪ kː 
SYMBOLISERER	s y m b uː l iː s eː r ə r 
SYMPATISK	s y m p a t ɪ s k 
SYN	s yː n 
SYND	s y n n 
SYNDEBUKKER	s y n n eː b ʉ kː ə r 
SYNDEREN	s y n n eː r ə n 
SYNES	s yː n ə s 
SYNET	s yː n ə t 
SYNGE	s y ŋ a 
SYNGER	s y ŋ ə r 
SYNKE	s y ŋ k a 
SYNKER	s y ŋ k ə r 
SYNLIG	s y n l ɪ 
SYNLIGGJØR	s y n l ɪ ɡː j øː r 
SYNS	s y n s 
SYNSPUNKTER	s y n s p ʉ ŋ k t ə r 
SYNTAKS	s y n t ɑ k s 
SYNTES	s y n t ə s 
SYNTESEN	s y n t eː s ə n 
SYNTESER	s y n t eː s ə r 
SYNTETISK	s y n t eː t ɪ s k 
SYNØVE	s yː n øː v a 
SYRLIGE	s y r l iː ɡ a 
SYSLER	s y s l ə r 
SYSSELMANN	s y s s ə l m ɑ n 
SYSSELSETTINGEN	s y s s ə l s ɛ tː ɪ ŋ ə n 
SYSSELSETTINGSPOLITIKKEN	s y s s ə l s ɛ tː ɪ ŋ s p uː l iː t ɪ kː ə n 
SYSTEM	s y s t eː m 
SYSTEMATISERING	s y s t eː m a t iː s eː r ɪ ŋ 
SYSTEMATISK	s y s t eː m a t ɪ s k 
SYSTEMENE	s y s t eː m ɛ n a 
SYSTEMER	s y s t eː m ə r 
SYSTEMET	s y s t eː m ə t 
SYSTEMUTVIKLING	s y s t eː m ʉ t v ɪ k l ɪ ŋ 
SYTTEN	s y tː ə n 
SYTTI	s y tː iː 
SYTTIEN	s y tː iː ə n 
SYTTIFEM	s y tː iː f ə m 
SYTTIFIRE	s y tː iː f iː r a 
SYTTINI	s y tː iː n iː 
SYTTISEKS	s y tː iː s ɛ k s 
SYTTISJU	s y tː ɪ ʃ ʉː 
SYTTITO	s y tː iː t uː 
SYTTITRE	s y tː ɪ t r a 
SYTTIÅTTE	s y tː iː ɔ tː a 
SYV	s yː v 
SYVÅRINGER	s yː v oː r ɪ ŋ ə r 
SÅ	s oː 
SÅDDE	s ɔ dː a 
SÅGAR	s oː ɡ a r 
SÅKALT	s oː k ɑ l t 
SÅKALTE	s oː k ɑ l t a 
SÅLEDES	s oː l eː d ə s 
SÅNN	s ɔ n 
SÅNT	s ɔ n t 
SÅPASS	s oː p ɑ s 
SÅRBARE	s ɔ r b a r a 
SÅRBARHET	s ɔ r b ɑ r h ə t 
SÅRER	s oː r ə r 
SÅS	s oː s 
SÅVEL	s oː v ə l 
SÅVIDT	s oː v ɪ d t 
SÆRAVGIFTEN	s aː r ɑ v j ɪ f t ə n 
SÆRDELES	s a r d eː l ə s 
SÆREGNE	s aː r ɛ ŋ n a 
SÆREIE	s aː r aɪ a 
SÆRFRADRAG	s a r f r ɑ d r a ɡ 
SÆRLIG	s a r l ɪ 
SÆRLIGE	s a r l iː ɡ a 
SÆRPREG	s a r p r ə ɡ 
SÆRPREGEDE	s a r p r eː ɡ eː d a 
SÆRPREGET	s a r p r eː ɡ ə t 
SÆRSKILT	s a r ʃ ɪ l t 
SÆTHRE	s a t h r a 
SÆTRE	s a t r a 
SÆVAREID	s ɛː v a r aɪ d 
SØBERG	s øː b a r ɡ 
SØDMEN	s œ d m ə n 
SØK	s øː k 
SØKE	s øː k a 
SØKELYSET	s øː k eː l yː s ə t 
SØKEMASKINENE	s øː k eː m ɑ ʃ iː n ɛ n a 
SØKENDE	s øː k ɛ n n a 
SØKEPROGRAMMER	s øː k ə p r ɔ ɡ r ɑ m m ə r 
SØKER	s øː k ə r 
SØKERE	s øː k eː r a 
SØKERNE	s øː k a r n a 
SØKES	s øː k ə s 
SØKINGEN	s øː x ɪ ŋ ə n 
SØKNAD	s œ k n a d 
SØKNADER	s œ k n a d ə r 
SØKNADSMENGDE	s œ k n ɑ d s m ɛ ŋ d a 
SØKNINGEN	s œ k n ɪ ŋ ə n 
SØKSMÅL	s œ k s m oː l 
SØKT	s œ k t 
SØKTE	s œ k t a 
SØLE	s øː l a 
SØLV	s œ l v 
SØLVFAT	s œ l v f a t 
SØLVGRUVENE	s œ l v ɡ r ʉː v ɛ n a 
SØLVI	s œ l v iː 
SØLVINNLEGG	s œ l v ɪ n l ɛ ɡː 
SØLVPAPIR	s œ l v p a p iː r 
SØMMER	s œ m m ə r 
SØNDAG	s œ n n a ɡ 
SØNDAGER	s œ n n a ɡ ə r 
SØNDRE	s œ n n r a 
SØNNEN	s œ n n ə n 
SØNNER	s œ n n ə r 
SØNNS	s œ n s 
SØPPEL	s œ pː ə l 
SØPPELDUNKER	s œ pː ə l l ʉ ŋ k ə r 
SØPPELTØMMERNE	s œ pː ə l t œ m m a r n a 
SØPPELTØMMINGPUNKTUM	s œ pː ə l t œ m m ɪ ŋ p ʉ ŋ k t ʉː m 
SØRBØVÅG	s œ r b øː v oː ɡ 
SØRGE	s œ r ɡ a 
SØRGER	s œ r ɡ ə r 
SØRGET	s œ r ɡ ə t 
SØRGMODIG	s œ r ɡ m uː d ɪ 
SØRHEIM	s œ r h aɪ m 
SØRLIE	s œ r l iː a 
SØROVER	s øː r uː v ə r 
SØRUM	s øː r ʉː m 
SØRVIK	s œ r v iː k 
SØRØSTLIGE	s øː r œ s t l iː ɡ a 
SØRØSTSIDEN	s øː r œ s t s iː d ə n 
SØSKEN	s œ s k ə n 
SØSKENPARET	s œ s k ə n p a r ə t 
SØSTER	s œ s t ə r 
SØSTERENS	s œ s t eː r ə n s 
SØTE	s øː t a 
SØVN	s œ v n 
SØYLEDEKOREN	s øy l eː d eː k uː r ə n 
T	t eː 
TA	t ɑ 
TAFFELET	t ɑ f f eː l ə t 
TAFFELSKILDRINGENE	t ɑ f f ə l ʃ ɪ l l r ɪ ŋ ɛ n a 
TAIPEI	t ɑɪ p aɪ 
TAK	t a k 
TAKET	t a k ə t 
TAKK	t ɑ kː 
TAKKE	t ɑ kː a 
TAKKEN	t ɑ kː ə n 
TAKKER	t ɑ kː ə r 
TAKKET	t ɑ kː ə t 
TAKLE	t ɑ k l a 
TAKLER	t ɑ k l ə r 
TAKSTKONSULENT	t ɑ k s t k ɔ n s ʉː l ɛ n t 
TAKSTMANN	t ɑ k s t m ɑ n 
TAKT	t ɑ k t 
TAKTIKK	t ɑ k t ɪ kː 
TAL	t a l 
TALE	t a l a 
TALEMELDING	t a l eː m ɛ l l ɪ ŋ 
TALEMÅLSFORM	t a l eː m ɔ l s f ɔ r m 
TALEMÅLSFORMER	t a l eː m ɔ l s f ɔ r m ə r 
TALENE	t a l ɛ n a 
TALENS	t a l ə n s 
TALENTENE	t a l ə n t ɛ n a 
TALEPOST	t a l eː p ʊ s t 
TALER	t a l ə r 
TALERØR	t a l eː r øː r 
TALL	t ɑ l 
TALLENE	t ɑ l l ɛ n a 
TALLERKEN	t ɑ l l a r k ə n 
TALLERKENEN	t ɑ l l a r k eː n ə n 
TALLGRUNNLAGET	t ɑ l ɡ r ʉ n l a ɡ ə t 
TALLINN	t ɑ l l ɪ n 
TALLKOMMA	t ɑ l k ɔ m m ɑ 
TALLMATERIALET	t ɑ l m a t eː r iː a l ə t 
TALLRIKE	t ɑ l r iː k a 
TALSMANN	t ɑ l s m ɑ n 
TALT	t ɑ l t 
TANANGER	t a n ɑ ŋ ə r 
TANGEN	t ɑ ŋ ə n 
TANGERER	t ɑ ŋ eː r ə r 
TANJA	t ɑ n j ɑ 
TANKANLEGG	t ɑ ŋ k ɑ n l ɛ ɡː 
TANKE	t ɑ ŋ k a 
TANKEGANG	t ɑ ŋ k eː ɡ ɑ ŋ 
TANKEKORS	t ɑ ŋ k eː k ɔ ʃ 
TANKEKRAFT	t ɑ ŋ k ə k r ɑ f t 
TANKELIV	t ɑ ŋ k eː l iː v 
TANKEN	t ɑ ŋ k ə n 
TANKENE	t ɑ ŋ k ɛ n a 
TANKER	t ɑ ŋ k ə r 
TANNLEGEBRANSJEN	t ɑ n l eː ɡ ɛ b r ɑ n ʃ ə n 
TANNLEGESJEKK	t ɑ n l eː ɡ ɛ ʃ ɛ kː 
TANSØY	t ɑ n s øy 
TANTE	t ɑ n t a 
TANTENE	t ɑ n t ɛ n a 
TANTER	t ɑ n t ə r 
TAP	t a p 
TAPER	t a p ə r 
TAPET	t a p ə t 
TAPT	t ɑ p t 
TAPTE	t ɑ p t a 
TAR	t a r 
TARIFFAVTALEN	t a r ɪ f f ɑ v t a l ə n 
TARIFFOMRÅDENE	t a r ɪ f f ɔ m r oː d ɛ n a 
TAS	t a s 
TASJKENT	t ɑ ʃ k ɛ n t 
TASTATURET	t ɑ s t a t ʉː r ə t 
TASTER	t ɑ s t ə r 
TATERBLOD	t a t a r b l uː d 
TATT	t ɑ tː 
TAUSHETSPLIKTEN	t aʊ s h ə t s p l ɪ k t ə n 
TAXISJÅFØR	t a k s ɪ ʃ oː f øː r 
TBILISI	t b iː l iː s iː 
TE	t eː 
TEAM	t eː a m 
TEATER	t eː a t ə r 
TEATERSCENEN	t eː a t a r ʃ k eː n ə n 
TEATRET	t eː ɑ t r ə t 
TEEN	t eː ə n 
TEGN	t ɛ ŋ n 
TEGNEFILMEN	t ɛ ŋ n eː f ɪ l m ə n 
TEGNER	t ɛ ŋ n ə r 
TEGNEREN	t ɛ ŋ n eː r ə n 
TEGNES	t ɛ ŋ n ə s 
TEGNESERIE	t ɛ ŋ n eː s eː r iː a 
TEGNESERIEMEDIET	t ɛ ŋ n eː s eː r iː eː m eː d iː ə t 
TEGNESERIEMUSEET	t ɛ ŋ n eː s eː r iː eː m ʉː s eː ə t 
TEGNESERIER	t ɛ ŋ n eː s eː r iː ə r 
TEGNESERIERKOMMA	t ɛ ŋ n eː s eː r iː a r k ɔ m m ɑ 
TEGNINGEN	t ɛ ŋ n ɪ ŋ ə n 
TEGNINGENE	t ɛ ŋ n ɪ ŋ ɛ n a 
TEGNINGER	t ɛ ŋ n ɪ ŋ ə r 
TEGNINGSMATERIALET	t ɛ ŋ n ɪ ŋ s m a t eː r iː a l ə t 
TEGNSETTING	t ɛ ŋ n s ə tː ɪ ŋ 
TEGNSPRÅK	t ɛ ŋ n s p r oː k 
TEHUSETS	t eː h ʉː s ɛ t s 
TEKKELIG	t ɛ kː eː l ɪ 
TEKNIKK	t ɛ k n ɪ kː 
TEKNIKKEN	t ɛ k n ɪ kː ə n 
TEKNIKKER	t ɛ k n ɪ kː ə r 
TEKNISK	t ɛ k n ɪ s k 
TEKNISKE	t ɛ k n ɪ s k a 
TEKNOKRATENE	t ɛ k n ɔ k r a t ɛ n a 
TEKNOLOGI	t ɛ k n uː l uː j iː 
TEKNOLOGIEN	t ɛ k n uː l uː j iː ə n 
TEKNOLOGIENS	t ɛ k n uː l uː j iː ə n s 
TEKNOLOGIFRYKT	t ɛ k n uː l uː j ɪ f r y k t 
TEKNOLOGISK	t ɛ k n uː l uː j ɪ s k 
TEKNOLOGISKE	t ɛ k n uː l uː j ɪ s k a 
TEKNOLOGIUTVIKLINGEN	t ɛ k n uː l uː j iː ʉ t v ɪ k l ɪ ŋ ə n 
TEKST	t ɛ k s t 
TEKSTEN	t ɛ k s t ə n 
TEKSTENE	t ɛ k s t ɛ n a 
TEKSTENPUNKTUM	t ɛ k s t ə n p ʉ ŋ k t ʉː m 
TEKSTER	t ɛ k s t ə r 
TEKSTILER	t ɛ k s t iː l ə r 
TEKSTUTVALGET	t ɛ k s t ʉ t v ɑ l ɡ ə t 
TELEFON	t eː l eː f uː n 
TELEFONEN	t eː l eː f uː n ə n 
